,0,1
1315,voljeti,35
1316,buka,35
1317,vredan,35
1318,zimski,35
1319,privremen,35
1320,životinja,35
1321,supruga,35
1322,područje,35
1323,igra,35
1324,četvrti,35
1325,prihvatiti,35
1326,6,35
1327,let,35
1328,gost,35
1329,čin,35
1330,pobunjen,35
1331,Dijan Hrka,35
1332,kordon,35
1333,izvršiti,35
1334,samit,35
1335,knjiga,35
1336,rektorski,35
1337,izložba,35
1338,lider,35
1339,huligan,35
1340,poljoprivredni,35
1341,nećemo,35
1342,zatvaranje,35
1343,brat,35
1344,najavljen,35
1345,univerzitetski,34
1346,Božić,34
1347,Madić,34
1348,privedeni,34
1349,advokatska,34
1350,jutro,34
1351,pati,34
1352,gubiti,34
1353,bojkot,34
1354,odbijati,34
1355,municija,34
1356,strategija,34
1357,obećanje,34
1358,Srbija Vučić,34
1359,navodni,34
1360,Kraljeva,34
1361,tragati,34
1362,referendum,34
1363,zaštitnik,34
1364,EU Srbija,34
1365,celi,34
1366,parking,34
1367,vređanje,34
1368,vladajući,34
1369,saslušati,34
1370,FON -,34
1371,TOK,33
1372,imovina,33
1373,isključiti,33
1374,napredak,33
1375,priroda,33
1376,tukti,33
1377,adresa,33
1378,slaviti,33
1379,infrastruktura,33
1380,grejanje,33
1381,Paunović,33
1382,8,33
1383,opcija,33
1384,putnik,33
1385,uvođenje,33
1386,porfirije,33
1387,uzrok,33
1388,prolaziti,33
1389,grafit,33
1390,generacija,33
1391,tona,33
1392,ulaziti,33
1393,raspišiti,33
1394,fabrika,33
1395,raspisivanje,33
1396,poternica,33
1397,sportski,33
1398,ličnost,33
1399,činiti,33
1400,priprema,33
1401,gasiti,33
1402,Hrvatska,33
1403,peški,33
1404,novembro,33
1405,Jagodina,33
1406,komemorativan,33
1407,april,33
1408,izvinjenje,33
1409,medicina,33
1410,oslobađanje,33
1411,pljusk,33
1412,razmatrati,32
1413,susret,32
1414,prekršaj,32
1415,kritika,32
1416,oko,32
1417,procedura,32
1418,sekretar,32
1419,lokal,32
1420,održavanje,32
1421,restoran,32
1422,pravac,32
1423,prisustvo,32
1424,sred,32
1425,pretučen,32
1426,kafić,32
1427,prijatelj,32
1428,čekanje,32
1429,30,32
1430,ovde,32
1431,sredina,32
1432,pregovor,32
1433,Marinika Tepić,32
1434,gurati,32
1435,sklad,32
1436,učiniti,32
1437,konferencija,32
1438,Jovović,32
1439,Dolovac,32
1440,dostaviti,32
1441,birač,32
1442,niš,32
1443,brutalan,32
1444,otežavati,32
1445,blokade,32
1446,festival,32
1447,ugrožiti,32
1448,pogoditi,32
1449,oprez,31
1450,namera,31
1451,ujediniti,31
1452,leđa,31
1453,poljoprivreda,31
1454,niz,31
1455,toplo,31
1456,doktor,31
1457,United Media,31
1458,koleginica,31
1459,aktivistkinja,31
1460,intervenisati,31
1461,14,31
1462,tabloidi,31
1463,članica,31
1464,21,31
1465,sunce,31
1466,teritorija,31
1467,ugasiti,31
1468,okolina,31
1469,ugrožavanje,31
1470,brzina,31
1471,17,31
1472,crn,31
1473,prisutan,31
1474,istorijski,31
1475,ambasada,31
1476,test,31
1477,nabavka,31
1478,vojnik,31
1479,29,31
1480,piće,31
1481,Novaković,31
1482,zemunski,31
1483,pljačka,31
1484,terorist,31
1485,pozdraviti,31
1486,nedopustiv,31
1487,operacija,31
1488,kamp,31
1489,baciti,31
1490,krivični,31
1491,brdo,31
1492,formiranje,30
1493,upotreban,30
1494,zakonski,30
1495,lojalist,30
1496,kvar,30
1497,prekršiti,30
1498,Vračar,30
1499,medicinskom,30
1500,naredni,30
1501,prazan,30
1502,aerodrom,30
1503,nadoknada,30
1504,sumnjiv,30
1505,zagađenje,30
1506,sudbina,30
1507,odeljenje,30
1508,primer,30
1509,krug,30
1510,obraćanje,30
1511,imenovanje,30
1512,južne,30
1513,korišćenje,30
1514,saopštiti,30
1515,želja,30
1516,potraga,30
1517,vozio,30
1518,primen,30
1519,putnički,30
1520,tim,30
1521,obojen,30
1522,kritikovati,30
1523,dojava,30
1524,obustavljati,30
1525,oblik,30
1526,intenzitet,30
1527,pozicija,30
1528,biblioteka,30
1529,ubijati,30
1530,pušteni,30
1531,menjati,29
1532,dođu,29
1533,neprimeren,29
1534,pomoćnik,29
1535,prodavati,29
1536,uzeti,29
1537,sećanje,29
1538,palica,29
1539,metar,29
1540,GSP,29
1541,ukp,29
1542,Srbija EU,29
1543,trgovina,29
1544,gradonačelnica,29
1545,4,29
1546,okrug,29
1547,shvatiti,29
1548,11,29
1549,lažni,29
1550,osumnjičean,29
1551,kapacitet,29
1552,šaka,29
1553,zatvorenik,29
1554,pristup,29
1555,stolica,29
1556,bazar,29
1557,uništavati,29
1558,3,29
1559,Generalštaba,29
1560,čistoća,29
1561,ocena,29
1562,filozofskog,29
1563,uništiti,29
1564,Štimac,29
1565,spavati,29
1566,smanjenje,29
1567,Kragujevc,29
1568,prevoznik,29
